ds,sensor_type,zone,sensor_id,y
2025-02-09T00:00:00,luz,1,1,2.14
2025-02-09T00:00:00,luz,1,2,2.18
2025-02-09T00:00:00,luz,1,3,0.76
2025-02-09T00:00:00,luz,1,4,2.54
2025-02-09T00:00:00,luz,1,5,2.56
2025-02-09T00:00:00,luz,1,6,0.75
2025-02-09T00:00:00,luz,1,7,1.3
2025-02-09T00:00:00,luz,2,1,2.27
2025-02-09T00:00:00,luz,2,2,0.77
2025-02-09T00:00:00,luz,2,3,1.57
2025-02-09T00:00:00,luz,2,4,2.18
2025-02-09T00:00:00,luz,2,5,1.47
2025-02-09T00:00:00,luz,2,6,1.73
2025-02-09T00:00:00,luz,2,7,0.79
2025-02-09T00:00:00,luz,3,1,2.78
2025-02-09T00:00:00,luz,3,2,2.51
2025-02-09T00:00:00,luz,3,3,1.95
2025-02-09T00:00:00,luz,3,4,0.89
2025-02-09T00:00:00,luz,3,5,2.49
2025-02-09T00:00:00,luz,3,6,1.19
2025-02-09T00:00:00,luz,3,7,2.29
2025-02-09T00:00:00,luz,4,1,1.07
2025-02-09T00:00:00,luz,4,2,1.28
2025-02-09T00:00:00,luz,4,3,1.79
2025-02-09T00:00:00,luz,4,4,1.92
2025-02-09T00:00:00,luz,4,5,0.59
2025-02-09T00:00:00,luz,4,6,1.84
2025-02-09T00:00:00,luz,4,7,0.61
2025-02-09T00:00:00,luz,5,1,2.0
2025-02-09T00:00:00,luz,5,2,1.81
2025-02-09T00:00:00,luz,5,3,0.63
2025-02-09T00:00:00,luz,5,4,2.33
2025-02-09T00:00:00,luz,5,5,1.82
2025-02-09T00:00:00,luz,5,6,2.97
2025-02-09T00:00:00,luz,5,7,0.72
2025-02-09T00:00:00,luz,6,1,2.62
2025-02-09T00:00:00,luz,6,2,2.19
2025-02-09T00:00:00,luz,6,3,0.69
2025-02-09T00:00:00,luz,6,4,2.59
2025-02-09T00:00:00,luz,6,5,1.51
2025-02-09T00:00:00,luz,6,6,0.59
2025-02-09T00:00:00,luz,6,7,1.47
2025-02-09T00:00:00,agua,1,1,1.31
2025-02-09T00:00:00,agua,1,2,2.55
2025-02-09T00:00:00,agua,1,3,0.45
2025-02-09T00:00:00,agua,1,4,1.27
2025-02-09T00:00:00,agua,1,5,1.17
2025-02-09T00:00:00,agua,1,6,1.84
2025-02-09T00:00:00,agua,1,7,0.79
2025-02-09T00:00:00,agua,2,1,0.31
2025-02-09T00:00:00,agua,2,2,0.1
2025-02-09T00:00:00,agua,2,3,0.68
2025-02-09T00:00:00,agua,2,4,1.29
2025-02-09T00:00:00,agua,2,5,1.04
2025-02-09T00:00:00,agua,2,6,1.21
2025-02-09T00:00:00,agua,2,7,1.66
2025-02-09T00:00:00,agua,3,1,0.48
2025-02-09T00:00:00,agua,3,2,2.38
2025-02-09T00:00:00,agua,3,3,1.76
2025-02-09T00:00:00,agua,3,4,0.87
